name,mass,radius
55 Cnc e,7.99,1.875
CoRoT-1 b,327.35,16.7
CoRoT-10 b,874.0,10.87
CoRoT-11 b,740.51,16.03
CoRoT-12 b,291.438,16.14
CoRoT-13 b,415.704,9.92
CoRoT-14 b,2415.4,12.22
CoRoT-16 b,170.032,13.11
CoRoT-17 b,772.29,11.43
CoRoT-18 b,1102.82,14.68
CoRoT-19 b,352.78,14.46
CoRoT-2 b,1102.82,16.432
CoRoT-21 b,718.2958,14.572
CoRoT-23 b,889.9,11.77
CoRoT-25 b,85.81,12.11
CoRoT-26 b,165.26,14.12
CoRoT-27 b,3302.11,11.287
CoRoT-28 b,153.82972,10.705
CoRoT-29 b,270.1555,10.088
CoRoT-3 b,6883.91,11.32
CoRoT-30 b,921.707,11.31
CoRoT-4 b,228.83,13.34
CoRoT-5 b,148.42,15.558
CoRoT-6 b,940.74,13.068
CoRoT-7 b,4.07661,1.681
CoRoT-8 b,69.92,6.39
CoRoT-9 b,266.9772,11.949
EPIC 220674823 b,8.21,1.725
EPIC 220674823 c,8.9,2.836
EPIC 229004835 b,10.4,2.332
EPIC 249893012 b,8.75,1.95
EPIC 249893012 c,14.67,3.67
EPIC 249893012 d,10.18,3.94
GJ 1132 b,1.66,1.13
GJ 1214 b,8.17,2.742
GJ 1252 b,1.32,1.18
GJ 143 b,22.7,2.61
GJ 3090 b,3.34,2.13
GJ 3470 b,13.9,4.57
GJ 3473 b,1.86,1.264
GJ 357 b,1.84,1.217
GJ 367 b,0.546,0.718
GJ 3929 b,1.75,1.09
GJ 436 b,22.1,4.17
GJ 486 b,2.82,1.305
GJ 9827 b,5.14,1.577
GJ 9827 d,3.53,2.022
GPX-1 b,6261.21962,16.477
Gaia-1 b,533.95172,13.776
Gaia-2 b,259.66581,14.818
HAT-P-1 b,166.86075,14.785
HAT-P-11 b,23.4,4.36
HAT-P-12 b,67.059,10.749
HAT-P-13 b,270.462,14.258
HAT-P-14 b,1093.3352,15.917
HAT-P-15 b,616.5902,11.882
HAT-P-16 b,1332.605,14.448
HAT-P-17 b,184.3414,11.769
HAT-P-18 b,62.61,11.153
HAT-P-19 b,92.802,12.689
HAT-P-20 b,2302.899,9.718
HAT-P-22 b,785.0401,12.89
HAT-P-25 b,180.84527,12.722
HAT-P-26 b,22.2481,7.062
HAT-P-27 b,197.05,11.43
HAT-P-28 b,198.953,13.585
HAT-P-29 b,279.6904,13.115
HAT-P-3 b,206.5895,10.536
HAT-P-30 b,263.7989,16.141
HAT-P-32 b,216.1244,22.194
HAT-P-34 b,1058.3739,13.417
HAT-P-35 b,335.62848,14.93
HAT-P-36 b,587.41341,14.314
HAT-P-37 b,371.528,13.204
HAT-P-38 b,84.857,9.247
HAT-P-39 b,190.372,17.609
HAT-P-4 b,213.255,14.28
HAT-P-40 b,152.5584,17.038
HAT-P-42 b,331.801,14.348
HAT-P-44 b,111.871,13.922
HAT-P-45 b,283.492,15.984
HAT-P-46 b,156.684,14.392
HAT-P-49 b,699.226,17.822
HAT-P-5 b,311.4734,13.563
HAT-P-50 b,429.0705,14.437
HAT-P-51 b,98.20947,14.493
HAT-P-52 b,259.98494,11.31
HAT-P-53 b,471.65972,14.773
HAT-P-54 b,241.5508,10.581
HAT-P-55 b,184.97706,13.249
HAT-P-56 b,734.1873,16.926
HAT-P-58 b,118.23217,14.93
HAT-P-59 b,489.45575,12.588
HAT-P-6 b,419.5356,16.589
HAT-P-60 b,182.43351,18.282
HAT-P-61 b,335.94463,10.077
HAT-P-62 b,241.86742,12.027
HAT-P-63 b,195.14664,12.543
HAT-P-64 b,184.34048,19.089
HAT-P-65 b,167.49641,21.185
HAT-P-66 b,248.86089,17.822
HAT-P-68 b,230.10892,12.016
HAT-P-69 b,1137.8314,18.786
HAT-P-7 b,584.8072,16.926
HAT-P-8 b,406.8224,15.693
HAT-P-9 b,238.05467,15.614
HATS-1 b,589.55,14.594
HATS-10 b,167.17858,10.862
HATS-13 b,172.58169,13.585
HATS-14 b,340.39593,11.646
HATS-15 b,689.6911,12.386
HATS-16 b,1039.3041,14.572
HATS-17 b,425.25654,8.709
HATS-18 b,629.14449,14.897
HATS-2 b,427.463,13.092
HATS-22 b,870.8542,10.682
